كود المنتج,اسم المنتج التجاري,اسم المنتج بالمتجر,وصف المنتج,أقل سعر مستهلك (ج.م),أعلى سعر مستهلك (ج.م),احطياطي مخزون,سعر الجمله,رابط الصورة المحلي
code0001,Arm and Leg Pedal Exerciser,بدال تمارين رياضي,جهاز تدريب رياضي للذراعين والقدمين قابل للطي مع شاشة ديجيتال، مثالي لعمل جلسات علاج طبيعي وتنشيط الدورة الدموية.,400,800,20,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5778280195398765958.jpg
code0002,HOME GOLD Ion Vapour Steamer,جهاز بخار الوجه المنزلي,جهاز بخار الوجه الأيوني HG-606، يفتح المسام وينظف البشرة بعمق ويمنحك ترطيباً مثالياً لبشرة أكثر نضارة وإشراقاً.,450,850,20,300,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297373.jpg
code0007,HD Vision WrapArounds,نظارات الرؤية الليلية والنهارية,نظارات HD Vision عالية الوضوح للقيادة، تقلل التوهج وتوضح الرؤية بشكل مثالي، يمكن ارتداؤها فوق النظارات الطبية.,120,250,50,80,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297387.jpg
code0012,Dental Water Flosser,جهاز الخيط المائي لتنظيف الأسنان,جهاز تنظيف الأسنان بالخيط المائي اللاسلكي، يزيل بقايا الطعام والجير بفعالية للثة صحية وأسنان نظيفة مع 3 أوضاع تشغيل.,350,700,25,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297391.jpg
code0027,F-37 Multi-function Flashlight,كشاف طوارئ متعدد الاستخدامات,كشاف طوارئ F-37 احترافي بقوة إضاءة عالية مع بطارية كبيرة، يحتوي على شفرة قاطع، صافرة إنذار، وشحن Type-C.,250,550,40,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297501.jpg
code0028,USB Type-C Electric Arc Lighter,ولاعة قوسية قابلة للشحن,ولاعة الكترونية حديثة مقاومة للرياح تعمل بالشحن عن طريق USB، آمنة ومناسبة للاستخدام المنزلي والرحلات.,150,300,50,100,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297502.jpg
code0029,Tractors for Cervical Spine,طوق شد فقرات الرقبة 3 طبقات,جهاز شد فقرات الرقبة القابل للنفخ يساعد على تخفيف آلام الرقبة وتصحيح الوضعية، تصميم مريح من 3 طبقات.,200,450,30,130,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297503.jpg
code0032,Colorful LED Beauty Mask,قناع الوجه الضوئي LED,قناع الجمال بتقنية إضاءة LED الملونة لعلاج مشاكل البشرة وتجديد الخلايا وتقليل التجاعيد، لبشرة أكثر نضارة.,600,1200,10,400,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440127.jpg
code0035,Adjustable Hand Grip Strengthener,مقبض تمارين اليد مع عداد,أداة تمرين قبضة اليد قابلة للتعديل ومزودة بعداد إلكتروني، مثالية لتقوية عضلات اليد والساعد.,100,250,50,60,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5900094680618175469.jpg
code0036,NANOFOG Scalp Massage Comb,مشط تدليك فروة الرأس,مشط ذكي لتدليك فروة الرأس وتوزيع السوائل والعلاجات بتقنية النانو، يحفز نمو الشعر ويقوي الجذور.,300,650,30,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337618.jpg
code0037,JOC Radio H799,راديو ديجيتال JOC H799,راديو محمول مشغل ديجيتال مع إضاءة وبطارية تدوم طويلاً، يدعم FM وصوت نقي وعالي الجودة.,250,500,30,150,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337648.jpg
code0038,Classic 5 Band Radio,راديو كلاسيكي 5 موجات,راديو كلاسيكي أنيق يدعم موجات FM/AM/SW بتصميم عصري وصوت واضح لجميع المحطات المفضلة.,200,450,20,130,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337652.jpg
code0039,Electric Coal Starter,سخان فحم كهربائي,سخان وموقد فحم كهربائي سريع الاشتعال، آمن وعملي لتسخين الفحم للشيشة أو البخور في دقائق.,250,500,40,160,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337676.jpg
code0040,FLAWLESS Pedi,جهاز بديكير إلكتروني فلاوليس,أداة العناية بالقدمين الكهربائية لإزالة الجلد الميت والتشققات بسهولة وأمان للحصول على أقدام ناعمة كالحرير.,180,380,45,110,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337724.jpg
code0041,Air Compressor LS-208,منفاخ هواء للسيارات ذكي,كمبروسر هواء محمول للسيارات بقوة 350 واط وشاشة ديجيتال ذكية وفصل أوتوماتيكي مع كشاف طوارئ.,700,1500,15,450,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337747.jpg
code0042,MAXTOP Compact Power Massager,مسدس مساج كهربائي MAXTOP,جهاز تدليك قوي ولاسلكي بـ 6 سرعات ورؤوس متعددة، لتخفيف آلام العضلات والمفاصل باحترافية عالية.,550,1100,20,350,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5967608899336604470.jpg
code0043,Promotional Video,مقطع فيديو ترويجي للمتجر,فيديو يوضح المنتجات المتاحة في المتجر بجودة عالية.,0,0,0,0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/farah.mp4.mp4
