كود المنتج (SKU),اسم المنتج التجاري,اسم المنتج بالمتجر,الوصف القصير,الوصف التفصيلي,الفئة,الفئة الفرعية,سعر الجملة,سعر البيع,السعر قبل الخصم,نسبة الخصم %,هامش الربح,الكمية المتاحة,حد التنبيه,الوزن (جرام),رابط الصورة الرئيسية,روابط صور إضافية,كود المورد,حالة المنتج,تاريخ الإضافة,الكلمات المفتاحية (SEO)
SK-001,Hydra Facial 9 in 1,جهاز العناية بالبشرة 9 في 1,جهاز متكامل للعناية بالبشرة وتنظيفها العميق، يجمع 9 وظائف في جهاز واحد للحصول على بشرة نضرة ومشرقة.,,العناية بالبشرة,,,5750,8800,34,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-001.jpg,,محمود,متاح,2026-08-01,
SK-002,Dr. Pen Ultima A1,ديرما بن Dr. Pen Ultima A1,قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين، يأتي مع إبر غيار لنتائج مثالية.,,العناية بالبشرة,,,1375,1815,24,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-002.jpg,,محمود,متاح,2026-08-01,
SK-003,Dr. Pen Ultima A6,ديرما بن Dr. Pen Ultima A6,جهاز ديرما بن لاسلكي متطور للعناية بالبشرة، يساعد على تقليل التجاعيد والندبات لتبدو بشرتك أكثر شباباً.,,العناية بالبشرة,,,2200,3190,31,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-003.jpg,,محمود,متاح,2026-08-01,
DT-001,Electric Teeth Cleaner,جهاز تنظيف الأسنان الكهربائي,منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة، لابتسامة ناصعة البياض.,,العناية بالفم والأسنان,,,500,715,30,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/DT-001.jpg,,محمود,متاح,2026-08-01,
SK-004,ZGTS Derma Roller,ديرما رولر ZGTS,أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل.,,العناية بالبشرة,,,247,412,40,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-004.jpg,,محمود,متاح,2026-08-01,
SK-005,SPA Micro Bubble Cleaner,جهاز إزالة الرؤوس السوداء المائي,جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي، يأتي مع رؤوس متعددة تناسب جميع أنواع البشرة.,,العناية بالبشرة,,,340,495,31,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-005.jpg,,محمود,متاح,2026-08-01,
SK-006,Water Facial Cleaner,جهاز شفط الرؤوس السوداء وتنظيف البشرة,جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء، لبشرة نقية وصافية.,,العناية بالبشرة,,,300,440,31,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-006.jpg,,محمود,متاح,2026-08-01,
SK-007,Portable High Frequency LZ-006A,جهاز التردد العالي المحمول,جهاز العناية بالبشرة بتقنية التردد العالي، يعالج حب الشباب ويحفز الدورة الدموية لتعزيز صحة ونضارة بشرتك.,,العناية بالبشرة,,,775,990,21,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-007.jpg,,محمود,متاح,2026-08-01,
SK-008,Intense Pulsed Light ES-1081,جهاز تقليل التجاعيد بالنبضات الضوئية,جهاز لتدليك وشد الوجه والرقبة، يعمل بتقنية النبضات الضوئية لتقليل التجاعيد واستعادة شباب البشرة.,,العناية بالبشرة,,,975,1210,19,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-008.jpg,,محمود,متاح,2026-08-01,
BD-001,Silicone Cupping 4 Cups,طقم كاسات حجامة سيليكون,مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق، تستخدم للتدليك وتنشيط الدورة الدموية وتخفيف آلام العضلات.,,العناية بالجسم,,,325,462,29,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/BD-001.jpg,,محمود,متاح,2026-08-01,
HR-001,Joy 2-in-1 Dryer & Styler,فرشاة تصفيف الشعر جوي,مجفف ومصفف شعر احترافي 2 في 1 من جوي، يمنحك شعراً ناعماً وكثيفاً في وقت قياسي وبكل سهولة.,,العناية بالشعر,,,1550,2200,29,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/HR-001.jpg,,محمود,متاح,2026-08-01,
HR-002,Kemei KM-099 / T99,ماكينة حلاقة الشعر كيمي KM-099,ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي، بتصميم أنيق ومحرك قوي لنتائج دقيقة وحلاقة مريحة.,,العناية بالشعر,,,327,528,38,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/HR-002.jpg,,محمود,متاح,2026-08-01,
HR-003,Blue Magic XH-040H,جهاز بخار نانو للعناية بالشعر,مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق، يساعد في تعزيز امتصاص منتجات العناية بالشعر.,,العناية بالشعر,,,843,1232,31,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/HR-003.jpg,,محمود,متاح,2026-08-01,
SK-009,Dr. Pen Ultima M5-W,ديرما بن دكتور بن ألتيما M5-W,جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي، مثالي لتحسين ملمس البشرة وعلاج عيوبها.,,العناية بالبشرة,,,1650,2310,28,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/SK-009.jpg,,محمود,متاح,2026-08-01,
HR-004,The Glam Hair Curler,جهاز تجعيد الشعر التلقائي,جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة.,,العناية بالشعر,,,700,990,29,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/HR-004.jpg,,محمود,متاح,2026-08-01,
RM-001,DSP Flawless Facial Remover,جهاز إزالة شعر الوجه DSP,مزيل شعر الوجه الصغير والأنيق من DSP، يزيل الشعر الزائد بلطف وبدون ألم لبشرة ناعمة خالية من العيوب.,,إزالة الشعر,,,190,275,30,,100,5,,https://raw.githubusercontent.com/FarahStore/maysara-store/main/images/products/RM-001.jpg,,محمود,متاح,2026-08-01,
