كود المنتج,اسم المنتج التجاري,اسم المنتج بالمتجر,وصف المنتج,أقل سعر مستهلك (ج.م),أعلى سعر مستهلك (ج.م),احطياطي مخزون,سعر الجمله,رابط الصورة المحلي
code0001,Arm and Leg Pedal Exerciser,بدال تمارين رياضي,جهاز تدريب رياضي للذراعين والقدمين قابل للطي مع شاشة ديجيتال، مثالي لعمل جلسات علاج طبيعي وتنشيط الدورة الدموية.,400,800,20,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5778280195398765958.jpg
code0002,HOME GOLD Ion Vapour Steamer,جهاز بخار الوجه المنزلي,جهاز بخار الوجه الأيوني HG-606، يفتح المسام وينظف البشرة بعمق ويمنحك ترطيباً مثالياً لبشرة أكثر نضارة وإشراقاً.,450,850,20,300,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297373.jpg
code0003,Hydra Facial 9 in 1,جهاز العناية بالبشرة 9 في 1,جهاز متكامل للعناية بالبشرة وتنظيفها العميق، يجمع 9 وظائف في جهاز واحد للحصول على بشرة نضرة ومشرقة.,3500,8000,30,3000,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297376.jpg
code0004,Dr. Pen Ultima A1,ديرما بن Dr. Pen Ultima A1,قلم ديرما بن احترافي لتجديد خلايا البشرة وتحفيز الكولاجين، يأتي مع إبر غيار لنتائج مثالية.,1100,1650,30,900,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297378.jpg
code0005,Dr. Pen Ultima A6,ديرما بن Dr. Pen Ultima A6,جهاز ديرما بن لاسلكي متطور للعناية بالبشرة، يساعد على تقليل التجاعيد والندبات لتبدو بشرتك أكثر شباباً.,1500,2900,30,1300,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297379.jpg
code0006,Electric Teeth Cleaner,جهاز تنظيف الأسنان الكهربائي,منظف أسنان كهربائي متطور يزيل الجير والتصبغات بفعالية بـ 31000 اهتزازة في الدقيقة، لابتسامة ناصعة البياض.,350,650,30,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297384.jpg
code0007,HD Vision WrapArounds,نظارات الرؤية الليلية والنهارية,نظارات HD Vision عالية الوضوح للقيادة، تقلل التوهج وتوضح الرؤية بشكل مثالي، يمكن ارتداؤها فوق النظارات الطبية.,120,250,50,80,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297387.jpg
code0008,ZGTS Derma Roller,ديرما رولر ZGTS,أداة ديرما رولر باللون الذهبي لتحفيز الكولاجين وتجديد شباب البشرة بفعالية وأمان في المنزل.,120,375,30,90,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297388.jpg
code0009,Water Facial Cleaner,جهاز شفط الرؤوس السوداء وتنظيف البشرة,جهاز تنظيف البشرة العميق وإزالة الشوائب بتقنية تدفق الماء، لبشرة نقية وصافية.,200,400,30,150,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389.jpg
code0010,SPA Micro Bubble Cleaner,جهاز إزالة الرؤوس السوداء المائي,جهاز تنظيف مسام البشرة وإزالة الرؤوس السوداء بتقنية الشفط المائي، يأتي مع رؤوس متعددة تناسب جميع أنواع البشرة.,230,450,30,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297389 (1).jpg
code0011,Portable High Frequency LZ-006A,جهاز التردد العالي المحمول,جهاز العناية بالبشرة بتقنية التردد العالي، يعالج حب الشباب ويحفز الدورة الدموية لتعزيز صحة ونضارة بشرتك.,650,900,30,500,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297390.jpg
code0012,Dental Water Flosser,جهاز الخيط المائي لتنظيف الأسنان,جهاز تنظيف الأسنان بالخيط المائي اللاسلكي، يزيل بقايا الطعام والجير بفعالية للثة صحية وأسنان نظيفة مع 3 أوضاع تشغيل.,350,700,25,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297391.jpg
code0013,Intense Pulsed Light ES-1081,جهاز تقليل التجاعيد بالنبضات الضوئية,جهاز لتدليك وشد الوجه والرقبة، يعمل بتقنية النبضات الضوئية لتقليل التجاعيد واستعادة شباب البشرة.,850,1100,30,700,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297392.jpg
code0014,Silicone Cupping 4 Cups,طقم كاسات حجامة سيليكون,مجموعة كاسات حجامة سيليكون مرنة باللون الأزرق، تستخدم للتدليك وتنشيط الدورة الدموية وتخفيف آلام العضلات.,230,420,30,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297393.jpg
code0015,Joy 2-in-1 Dryer & Styler,فرشاة تصفيف الشعر جوي,مجفف ومصفف شعر احترافي 2 في 1 من جوي، يمنحك شعراً ناعماً وكثيفاً في وقت قياسي وبكل سهولة.,1100,2000,30,900,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297395.jpg
code0016,Kemei KM-099 / T99,ماكينة حلاقة الشعر كيمي KM-099,ماكينة حلاقة وتشذيب الشعر الاحترافية من كيمي، بتصميم أنيق ومحرك قوي لنتائج دقيقة وحلاقة مريحة.,175,480,30,130,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297418.jpg
code0017,Blue Magic XH-040H,جهاز بخار نانو للعناية بالشعر,مسدس رش بخار النانو لمعالجة الشعر وترطيبه بعمق، يساعد في تعزيز امتصاص منتجات العناية بالشعر.,566,1120,30,450,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297425.jpg
code0018,Dr. Pen Ultima M5-W,ديرما بن دكتور بن ألتيما M5-W,جهاز ديرما بن اللاسلكي الأنيق باللون الذهبي الوردي، مثالي لتحسين ملمس البشرة وعلاج عيوبها.,1200,2100,30,950,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297432.jpg
code0019,The Glam Hair Curler,جهاز تجعيد الشعر التلقائي,جهاز تجعيد الشعر الأوتوماتيكي للحصول على تموجات رائعة ومثالية بسهولة وأمان في ثوانٍ معدودة.,500,900,30,400,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297436.jpg
code0020,DSP Flawless Facial Remover,جهاز إزالة شعر الوجه DSP,مزيل شعر الوجه الصغير والأنيق من DSP، يزيل الشعر الزائد بلطف وبدون ألم لبشرة ناعمة خالية من العيوب.,130,250,30,100,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297437.jpg
code0021,Versatile Silicone Cupping,كاسات مساج سيليكون للجسم,مجموعة كاسات تدليك سيليكون فعالة في محاربة السيلوليت وشد ترهلات الجسم للحصول على قوام متناسق.,230,500,30,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297447.jpg
code0022,Kemei KM-1910,ماكينة حلاقة وتشذيب كيمي KM-1910,ماكينة حلاقة رجالية متعددة الاستخدامات لتشذيب اللحية والجسم، تأتي مع أمشاط درجات مختلفة وتعمل شحناً بـ USB.,180,320,30,140,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297454.jpg
code0023,Geneo Oxygenation pods,جهاز تقشير وتغذية البشرة مع كبسولات,جهاز متطور لتقشير البشرة بالأكسجين وتغذيتها، يأتي مع كبسولات متنوعة لتلبية جميع احتياجات العناية بالبشرة.,1500,3000,30,1200,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297455.jpg
code0024,Hot & Cool Facial Steamer,جهاز بخار الوجه الاحترافي,جهاز بخار للوجه مزود بحامل يوفر بخاراً ساخناً وبارداً، مثالي لتنظيف المسام وتجهيز البشرة للعناية في الصالونات أو المنزل.,2200,4000,30,1800,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297458.jpg
code0025,Flawless Hair Remover F-120,جهاز فلاوليس لإزالة الشعر,جهاز إزالة الشعر الصغير والمحمول، بتصميم يشبه أحمر الشفاه لإزالة شعر الوجه بلطف ودقة في أي وقت ومكان.,130,250,30,100,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297463.jpg
code0026,Kemei 4 in 1 KM-3024,مجموعة إزالة الشعر 4 في 1 كيمي,ماكينة إزالة الشعر النسائية المتكاملة 4 في 1، تشمل رؤوساً متعددة للحلاقة وتشذيب الحواجب وإزالة شعر الأنف.,200,380,30,150,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297481.jpg
code0027,F-37 Multi-function Flashlight,كشاف طوارئ متعدد الاستخدامات,كشاف طوارئ F-37 احترافي بقوة إضاءة عالية مع بطارية كبيرة، يحتوي على شفرة قاطع، صافرة إنذار، وشحن Type-C.,250,550,40,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297501.jpg
code0028,USB Type-C Electric Arc Lighter,ولاعة قوسية قابلة للشحن,ولاعة الكترونية حديثة مقاومة للرياح تعمل بالشحن عن طريق USB، آمنة ومناسبة للاستخدام المنزلي والرحلات.,150,300,50,100,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297502.jpg
code0029,Tractors for Cervical Spine,طوق شد فقرات الرقبة 3 طبقات,جهاز شد فقرات الرقبة القابل للنفخ يساعد على تخفيف آلام الرقبة وتصحيح الوضعية، تصميم مريح من 3 طبقات.,200,450,30,130,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5881709725215297503.jpg
code0030,Chest Massager KL-2022,جهاز تدليك الصدر KL-2022,حمالة صدر لتدليك الصدر وتنشيط الدورة الدموية مزودة بخاصية التدفئة، لتوفير الراحة والعناية المتكاملة.,450,800,30,350,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440119.jpg
code0031,Super Micro Bubble D-Clean,جهاز تنظيف البشرة بالفقاعات الدقيقة,جهاز تنظيف وتقشير الوجه بالفقاعات المائية الدقيقة، يزيل الرؤوس السوداء ويمنح بشرتك ترطيباً ونظافة عميقة.,350,750,30,250,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440123.jpg
code0032,Colorful LED Beauty Mask,قناع الوجه الضوئي LED,قناع الجمال بتقنية إضاءة LED الملونة لعلاج مشاكل البشرة وتجديد الخلايا وتقليل التجاعيد، لبشرة أكثر نضارة.,600,1200,10,400,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440127.jpg
code0033,Postpartum Abdomen Support,حزام شد البطن لما بعد الولادة,طقم أحزمة دعم وشد البطن لما بعد الولادة من 3 قطع، يساعد في استعادة شكل الجسم ودعم عضلات البطن بفعالية.,400,900,30,300,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440129.jpg
code0034,Multifunctional HT-808,جهاز تنظيف مسام الوجه متعدد الوظائف,جهاز إزالة الرؤوس السوداء وشفط دهون البشرة HT-808، يأتي مع رؤوس متعددة لتنظيف البشرة بعمق والحفاظ على نقائها.,200,450,30,150,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5897814783128440130.jpg
code0035,Adjustable Hand Grip Strengthener,مقبض تمارين اليد مع عداد,أداة تمرين قبضة اليد قابلة للتعديل ومزودة بعداد إلكتروني، مثالية لتقوية عضلات اليد والساعد.,100,250,50,60,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5900094680618175469.jpg
code0036,NANOFOG Scalp Massage Comb,مشط تدليك فروة الرأس,مشط ذكي لتدليك فروة الرأس وتوزيع السوائل والعلاجات بتقنية النانو، يحفز نمو الشعر ويقوي الجذور.,300,650,30,180,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337618.jpg
code0037,JOC Radio H799,راديو ديجيتال JOC H799,راديو محمول مشغل ديجيتال مع إضاءة وبطارية تدوم طويلاً، يدعم FM وصوت نقي وعالي الجودة.,250,500,30,150,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337648.jpg
code0038,Classic 5 Band Radio,راديو كلاسيكي 5 موجات,راديو كلاسيكي أنيق يدعم موجات FM/AM/SW بتصميم عصري وصوت واضح لجميع المحطات المفضلة.,200,450,20,130,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337652.jpg
code0039,Electric Coal Starter,سخان فحم كهربائي,سخان وموقد فحم كهربائي سريع الاشتعال، آمن وعملي لتسخين الفحم للشيشة أو البخور في دقائق.,250,500,40,160,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337676.jpg
code0040,FLAWLESS Pedi,جهاز بديكير إلكتروني فلاوليس,أداة العناية بالقدمين الكهربائية لإزالة الجلد الميت والتشققات بسهولة وأمان للحصول على أقدام ناعمة كالحرير.,180,380,45,110,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337724.jpg
code0041,Air Compressor LS-208,منفاخ هواء للسيارات ذكي,كمبروسر هواء محمول للسيارات بقوة 350 واط وشاشة ديجيتال ذكية وفصل أوتوماتيكي مع كشاف طوارئ.,700,1500,15,450,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5938073942545337747.jpg
code0042,MAXTOP Compact Power Massager,مسدس مساج كهربائي MAXTOP,جهاز تدليك قوي ولاسلكي بـ 6 سرعات ورؤوس متعددة، لتخفيف آلام العضلات والمفاصل باحترافية عالية.,550,1100,20,350,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/5967608899336604470.jpg
code0043,Promotional Video,مقطع فيديو ترويجي للمتجر,فيديو يوضح المنتجات المتاحة في المتجر بجودة عالية.,0,0,0,0,file:///C:/Users/FOX/Desktop/فرح%20لستور/new_images/farah.mp4.mp4
